Biogram@Dane prawdziwe@Rezultat@GPT@GPT35@Clarin
Piotrowiczowa_z_Rogolinskich@1863-02-28@True@1863-02-28@1863-02-28@1863-02-28
Byszewska_Ludwika_z@brak danych@True@brak danych@brak danych@brak danych
Cox_Leonard@brak danych@True@brak danych@brak danych@brak danych
Orlowska_Cecylia_Czeslawa@brak danych@True@brak danych@brak danych@brak danych
Swiatkowski_Henryk@brak danych@True@brak danych@brak danych@brak danych
Patruus_Jan__syn_@brak danych@True@brak danych@brak danych@brak danych
Krystyniacki_Jan@brak danych@True@brak danych@brak danych@brak danych
Stebelski_1@brak danych@True@brak danych@1891 (po)@brak danych
Glinski_Iwan@brak danych@True@brak danych@brak danych@brak danych
Dobrogost_z_Dzwonowa@brak danych@True@brak danych@brak danych@brak danych
Kozlowski_Jan_Pawel@brak danych@True@brak danych@brak danych@brak danych
Jarkowski_Stanislaw_Teofil@brak danych@True@brak danych@brak danych@brak danych
Hirschenfeld-Mielecki_Jozef@brak danych@True@brak danych@brak danych@brak danych
Szczerbic@brak danych@True@brak danych@brak danych@brak danych
Pociej_Aleksander_h@brak danych@True@brak danych@brak danych@brak danych
Glogerowa_z_Jelskich@brak danych@True@brak danych@brak danych@brak danych
Szprega_Teodor@brak danych@True@brak danych@brak danych@brak danych
Rzymowski_Wincenty@brak danych@True@brak danych@brak danych@brak danych
Myszkowski_Stanislaw_z_1@brak danych@True@brak danych@brak danych@brak danych
Dogrumowa_Maria_Teresa@brak danych@True@brak danych@brak danych@brak danych
Felinska_Ewa@brak danych@True@brak danych@brak danych@brak danych
Szafarczyk@1865-02-17@False@1865-02-17@brak danych@brak danych
Robel_Jan_Zygmunt@brak danych@True@brak danych@no data@brak danych
Sapiezyna_z_Zamoyskich_1@1890-04-02@True@1890-04-02@1890-04-02@brak danych
Radziwill_Jan_Mikolaj@1747-09-22@True@1747-09-22@1747-09-22@1747-09-22
Radwan@brak danych@True@brak danych@brak danych@brak danych
Quest_Robert@brak danych@True@brak danych@brak danych@brak danych
Mroczko_Nagorka_z@brak danych@True@brak danych@brak danych@brak danych
Pion_Maurice@brak danych@True@brak danych@brak danych@brak danych
Eryk_z_Winsen@brak danych@True@brak danych@brak danych@brak danych
Bezprym@brak danych@True@brak danych@brak danych@brak danych
Lesniowolski_Marcin_h@1593-03-09@True@1593-03-09@1593-03-09@1593-03-09
Przezdziecki_Aleksander_h@brak danych@True@brak danych@brak danych@brak danych
Ezra_ben_Nisan@brak danych@True@brak danych@1666 (przetrwał do dziś dnia)@brak danych
Slonkowic@1658-05-11@True@1658-05-11@1658-05-11@1658-05-11
Jamonttowna_Helena@brak danych@True@brak danych@brak danych@brak danych
